Airline,Airline ID,Source airport ID,Source airport ,Destination airport ID,Destination airport ,Codeshare,Stops,Equipment,Price,Source,Destination,Date_of_Journey
IndiGo,2B,410,AER,2965,KZN,2990,0,CR2,3897,Banglore,New Delhi,24/03/2019
Air India,2B,410,ASF,2966,KZN,2990,0,CR2,7662,Kolkata,Banglore,1/05/2019
Jet Airways,2B,410,ASF,2966,MRV,2962,0,CR2,13882,Delhi,Cochin,9/06/2019
IndiGo,2B,410,CEK,2968,KZN,2990,0,CR2,6218,Kolkata,Banglore,12/05/2019
IndiGo,2B,410,CEK,2968,OVB,4078,0,CR2,13302,Banglore,New Delhi,01/03/2019
SpiceJet,2B,410,DME,4029,KZN,2990,0,CR2,3873,Kolkata,Banglore,24/06/2019
Jet Airways,2B,410,DME,4029,NBC,6969,0,CR2,11087,Banglore,New Delhi,12/03/2019
Jet Airways,2B,410,DME,4029,TGK,\N,0,CR2,22270,Banglore,New Delhi,01/03/2019
Jet Airways,2B,410,DME,4029,UUA,6160,0,CR2,11087,Banglore,New Delhi,12/03/2019
Multiple carriers,2B,410,EGO,6156,KGD,2952,0,CR2,8625,Delhi,Cochin,27/05/2019
Air India,2B,410,EGO,6156,KZN,2990,0,CR2,8907,Delhi,Cochin,1/06/2019
IndiGo,2B,410,GYD,2922,NBC,6969,0,CR2,4174,Kolkata,Banglore,18/04/2019
Air India,2B,410,KGD,2952,EGO,6156,0,CR2,4667,Chennai,Kolkata,24/06/2019
Jet Airways,2B,410,KZN,2990,AER,2965,0,CR2,9663,Kolkata,Banglore,9/05/2019
IndiGo,2B,410,KZN,2990,ASF,2966,0,CR2,4804,Kolkata,Banglore,24/04/2019
Air India,2B,410,KZN,2990,CEK,2968,0,CR2,14011,Delhi,Cochin,3/03/2019
SpiceJet,2B,410,KZN,2990,DME,4029,0,CR2,5830,Delhi,Cochin,15/04/2019
Jet Airways,2B,410,KZN,2990,EGO,6156,0,CR2,10262,Delhi,Cochin,12/06/2019
Air India,2B,410,KZN,2990,LED,2948,0,CR2,13381,Delhi,Cochin,12/06/2019
Jet Airways,2B,410,KZN,2990,SVX,2975,0,CR2,12898,Delhi,Cochin,27/05/2019
GoAir,2B,410,LED,2948,KZN,2990,0,CR2,19495,Delhi,Cochin,6/03/2019
Air India,2B,410,LED,2948,NBC,6969,0,CR2,6955,Banglore,New Delhi,21/03/2019
IndiGo,2B,410,LED,2948,UUA,6160,0,CR2,3943,Banglore,Delhi,3/04/2019
IndiGo,2B,410,MRV,2962,ASF,2966,0,CR2,4823,Banglore,Delhi,1/05/2019
Jet Airways,2B,410,NBC,6969,DME,4029,0,CR2,7757,Kolkata,Banglore,6/05/2019
Jet Airways,2B,410,NBC,6969,GYD,2922,0,CR2,13292,Delhi,Cochin,9/06/2019
IndiGo,2B,410,NBC,6969,LED,2948,0,CR2,8238,Delhi,Cochin,1/06/2019
GoAir,2B,410,NBC,6969,SVX,2975,0,CR2,7682,Delhi,Cochin,15/05/2019
Vistara,2B,410,NJC,2972,SVX,2975,0,CR2,4668,Banglore,Delhi,18/06/2019
Vistara,2B,410,NJC,2972,UUA,6160,0,CR2,3687,Chennai,Kolkata,15/06/2019
